itemId,title,condition,price,currency,category_id,listing_date,end_date,collection_date,url
mock_9355_0_1747633103_5444,Laptop Air 10 inch,For parts or not working,1629.81,USD,9355,2025-05-06T13:38:23.051775,2025-06-05T13:38:23.051775,2025-05-19T13:38:23.051775,https://example.com/item/mock_9355_0_1747633103_5444
mock_9355_1_1747633103_4732,ThinkPad Mini 7 inch,New,886.47,USD,9355,2025-05-18T13:38:23.051775,2025-05-31T13:38:23.051775,2025-05-19T13:38:23.051775,https://example.com/item/mock_9355_1_1747633103_4732
mock_9355_2_1747633103_8585,MacBook Max 11 GB,For parts or not working,1276.1,USD,9355,2025-05-18T13:38:23.051775,2025-06-07T13:38:23.051775,2025-05-19T13:38:23.051775,https://example.com/item/mock_9355_2_1747633103_8585
mock_9355_3_1747633103_9874,MacBook Max 6 ,Acceptable,1259.29,USD,9355,2025-05-02T13:38:23.051775,2025-06-17T13:38:23.051775,2025-05-19T13:38:23.051775,https://example.com/item/mock_9355_3_1747633103_9874
mock_9355_4_1747633103_3449,Asus ZenBook Air 9 TB,Like New,850.53,USD,9355,2025-05-12T13:38:23.051775,2025-06-12T13:38:23.051775,2025-05-19T13:38:23.051775,https://example.com/item/mock_9355_4_1747633103_3449
mock_9355_5_1747633103_5129,HP Spectre Air 12 GB,New,1035.93,USD,9355,2025-04-20T13:38:23.051775,2025-05-24T13:38:23.051775,2025-05-19T13:38:23.051775,https://example.com/item/mock_9355_5_1747633103_5129
mock_9355_6_1747633103_4125,MacBook Max 9 inch,Acceptable,1930.07,USD,9355,2025-05-16T13:38:23.051775,2025-05-23T13:38:23.051775,2025-05-19T13:38:23.051775,https://example.com/item/mock_9355_6_1747633103_4125
mock_9355_7_1747633103_4634,HP Spectre Pro 9 inch,Very Good,1593.55,USD,9355,2025-04-27T13:38:23.051775,2025-05-21T13:38:23.051775,2025-05-19T13:38:23.051775,https://example.com/item/mock_9355_7_1747633103_4634
mock_9355_8_1747633103_4920,MacBook Max 6 TB,Very Good,1265.26,USD,9355,2025-04-29T13:38:23.051775,2025-05-30T13:38:23.051775,2025-05-19T13:38:23.051775,https://example.com/item/mock_9355_8_1747633103_4920
mock_9355_9_1747633103_4680,Dell XPS Mini 7 ,For parts or not working,1614.4,USD,9355,2025-05-12T13:38:23.051775,2025-05-30T13:38:23.051775,2025-05-19T13:38:23.051775,https://example.com/item/mock_9355_9_1747633103_4680
mock_9355_10_1747633103_4405,Dell XPS Plus 5 TB,Very Good,1267.78,USD,9355,2025-04-25T13:38:23.051775,2025-05-21T13:38:23.051775,2025-05-19T13:38:23.051775,https://example.com/item/mock_9355_10_1747633103_4405
mock_9355_11_1747633103_4322,MacBook Mini 7 inch,Very Good,1710.59,USD,9355,2025-05-02T13:38:23.051775,2025-06-15T13:38:23.051775,2025-05-19T13:38:23.051775,https://example.com/item/mock_9355_11_1747633103_4322
mock_9355_12_1747633103_6537,Dell XPS Pro 7 ,Good,1195.66,USD,9355,2025-04-25T13:38:23.051775,2025-05-25T13:38:23.051775,2025-05-19T13:38:23.051775,https://example.com/item/mock_9355_12_1747633103_6537
mock_9355_13_1747633103_2954,ThinkPad Air 12 inch,For parts or not working,882.88,USD,9355,2025-04-21T13:38:23.051775,2025-05-31T13:38:23.051775,2025-05-19T13:38:23.051775,https://example.com/item/mock_9355_13_1747633103_2954
mock_9355_14_1747633103_9572,Dell XPS Air 11 inch,For parts or not working,1887.02,USD,9355,2025-04-25T13:38:23.051775,2025-06-15T13:38:23.051775,2025-05-19T13:38:23.051775,https://example.com/item/mock_9355_14_1747633103_9572
mock_9355_15_1747633103_1428,MacBook Mini 11 TB,Good,556.62,USD,9355,2025-04-26T13:38:23.051775,2025-05-26T13:38:23.051775,2025-05-19T13:38:23.051775,https://example.com/item/mock_9355_15_1747633103_1428
mock_9355_16_1747633103_1307,Dell XPS Pro 6 TB,New,1031.06,USD,9355,2025-05-08T13:38:23.051775,2025-05-27T13:38:23.051775,2025-05-19T13:38:23.051775,https://example.com/item/mock_9355_16_1747633103_1307
mock_9355_17_1747633103_2255,ThinkPad Max 9 TB,Like New,1558.26,USD,9355,2025-05-02T13:38:23.051775,2025-05-29T13:38:23.051775,2025-05-19T13:38:23.051775,https://example.com/item/mock_9355_17_1747633103_2255
mock_9355_18_1747633103_7171,HP Spectre Standard 11 GB,For parts or not working,1128.2,USD,9355,2025-05-16T13:38:23.051775,2025-06-08T13:38:23.051775,2025-05-19T13:38:23.051775,https://example.com/item/mock_9355_18_1747633103_7171
mock_9355_19_1747633103_6377,Laptop Max 8 GB,Good,1306.38,USD,9355,2025-05-06T13:38:23.051775,2025-06-04T13:38:23.051775,2025-05-19T13:38:23.051775,https://example.com/item/mock_9355_19_1747633103_6377
mock_9355_20_1747633103_2615,MacBook Max 15 inch,For parts or not working,521.65,USD,9355,2025-04-27T13:38:23.051775,2025-05-23T13:38:23.051775,2025-05-19T13:38:23.051775,https://example.com/item/mock_9355_20_1747633103_2615
mock_9355_21_1747633103_5449,Laptop Mini 9 TB,New,702.06,USD,9355,2025-05-05T13:38:23.051775,2025-05-21T13:38:23.051775,2025-05-19T13:38:23.051775,https://example.com/item/mock_9355_21_1747633103_5449
mock_9355_22_1747633103_3570,Notebook Standard 15 GB,Like New,1967.67,USD,9355,2025-04-19T13:38:23.051775,2025-06-06T13:38:23.051775,2025-05-19T13:38:23.051775,https://example.com/item/mock_9355_22_1747633103_3570
mock_9355_23_1747633103_9061,HP Spectre Ultra 14 inch,For parts or not working,753.58,USD,9355,2025-04-22T13:38:23.051775,2025-06-11T13:38:23.051775,2025-05-19T13:38:23.051775,https://example.com/item/mock_9355_23_1747633103_9061
mock_9355_24_1747633103_2171,MacBook Plus 5 inch,Very Good,1158.37,USD,9355,2025-04-29T13:38:23.051775,2025-05-28T13:38:23.051775,2025-05-19T13:38:23.051775,https://example.com/item/mock_9355_24_1747633103_2171
mock_9355_25_1747633103_3723,MacBook Ultra 7 inch,Acceptable,871.41,USD,9355,2025-04-24T13:38:23.051775,2025-05-31T13:38:23.051775,2025-05-19T13:38:23.051775,https://example.com/item/mock_9355_25_1747633103_3723
mock_9355_26_1747633103_5166,Laptop Mini 6 inch,For parts or not working,713.81,USD,9355,2025-04-27T13:38:23.051775,2025-06-07T13:38:23.051775,2025-05-19T13:38:23.051775,https://example.com/item/mock_9355_26_1747633103_5166
mock_9355_27_1747633103_8731,MacBook Pro 15 TB,Acceptable,1743.52,USD,9355,2025-05-09T13:38:23.051775,2025-06-03T13:38:23.051775,2025-05-19T13:38:23.051775,https://example.com/item/mock_9355_27_1747633103_8731
mock_9355_28_1747633103_4230,Asus ZenBook Ultra 6 ,Very Good,1845.88,USD,9355,2025-04-27T13:38:23.051775,2025-06-13T13:38:23.051775,2025-05-19T13:38:23.051775,https://example.com/item/mock_9355_28_1747633103_4230
mock_9355_29_1747633103_3388,HP Spectre Max 12 GB,Good,1764.72,USD,9355,2025-04-30T13:38:23.051775,2025-05-31T13:38:23.051775,2025-05-19T13:38:23.051775,https://example.com/item/mock_9355_29_1747633103_3388
mock_9355_30_1747633103_9401,Laptop Mini 7 GB,Good,874.61,USD,9355,2025-05-06T13:38:23.051775,2025-05-31T13:38:23.051775,2025-05-19T13:38:23.051775,https://example.com/item/mock_9355_30_1747633103_9401
mock_9355_31_1747633103_6324,Dell XPS Mini 11 ,Very Good,313.13,USD,9355,2025-04-25T13:38:23.051775,2025-05-22T13:38:23.051775,2025-05-19T13:38:23.051775,https://example.com/item/mock_9355_31_1747633103_6324
mock_9355_32_1747633103_6718,Notebook Air 6 GB,Very Good,1340.96,USD,9355,2025-05-15T13:38:23.051775,2025-06-10T13:38:23.051775,2025-05-19T13:38:23.051775,https://example.com/item/mock_9355_32_1747633103_6718
mock_9355_33_1747633103_1330,Asus ZenBook Mini 7 TB,Acceptable,1856.11,USD,9355,2025-05-04T13:38:23.051775,2025-05-23T13:38:23.051775,2025-05-19T13:38:23.051775,https://example.com/item/mock_9355_33_1747633103_1330
mock_9355_34_1747633103_1605,Notebook Pro 5 ,Very Good,528.48,USD,9355,2025-05-14T13:38:23.051775,2025-06-06T13:38:23.051775,2025-05-19T13:38:23.051775,https://example.com/item/mock_9355_34_1747633103_1605
mock_9355_35_1747633103_1467,ThinkPad Mini 14 GB,Very Good,1274.96,USD,9355,2025-05-18T13:38:23.051775,2025-06-06T13:38:23.051775,2025-05-19T13:38:23.051775,https://example.com/item/mock_9355_35_1747633103_1467
mock_9355_36_1747633103_1209,Dell XPS Air 13 ,For parts or not working,1084.63,USD,9355,2025-05-14T13:38:23.051775,2025-06-10T13:38:23.051775,2025-05-19T13:38:23.051775,https://example.com/item/mock_9355_36_1747633103_1209
mock_9355_37_1747633103_5293,Laptop Max 5 inch,Like New,1032.12,USD,9355,2025-04-29T13:38:23.051775,2025-05-30T13:38:23.051775,2025-05-19T13:38:23.051775,https://example.com/item/mock_9355_37_1747633103_5293
mock_9355_38_1747633103_1229,Asus ZenBook Mini 14 TB,Good,1176.38,USD,9355,2025-05-18T13:38:23.051775,2025-06-18T13:38:23.051775,2025-05-19T13:38:23.051775,https://example.com/item/mock_9355_38_1747633103_1229
mock_9355_39_1747633103_6737,ThinkPad Ultra 12 TB,For parts or not working,1894.3,USD,9355,2025-04-27T13:38:23.051775,2025-06-08T13:38:23.051775,2025-05-19T13:38:23.051775,https://example.com/item/mock_9355_39_1747633103_6737
mock_9355_40_1747633103_2359,Dell XPS Standard 5 inch,Very Good,1580.25,USD,9355,2025-04-23T13:38:23.051775,2025-06-02T13:38:23.051775,2025-05-19T13:38:23.051775,https://example.com/item/mock_9355_40_1747633103_2359
mock_9355_41_1747633103_8491,HP Spectre Pro 8 inch,New,1968.22,USD,9355,2025-05-02T13:38:23.051775,2025-06-08T13:38:23.051775,2025-05-19T13:38:23.051775,https://example.com/item/mock_9355_41_1747633103_8491
mock_9355_42_1747633103_7595,ThinkPad Standard 5 inch,Good,1566.51,USD,9355,2025-05-09T13:38:23.051775,2025-05-23T13:38:23.051775,2025-05-19T13:38:23.051775,https://example.com/item/mock_9355_42_1747633103_7595
mock_9355_43_1747633103_3971,MacBook Ultra 13 inch,Very Good,376.6,USD,9355,2025-05-10T13:38:23.051775,2025-06-12T13:38:23.051775,2025-05-19T13:38:23.051775,https://example.com/item/mock_9355_43_1747633103_3971
mock_9355_44_1747633103_7509,Laptop Pro 15 TB,Like New,927.95,USD,9355,2025-05-08T13:38:23.051775,2025-06-07T13:38:23.051775,2025-05-19T13:38:23.051775,https://example.com/item/mock_9355_44_1747633103_7509
mock_9355_45_1747633103_3159,Notebook Max 5 inch,For parts or not working,581.85,USD,9355,2025-05-15T13:38:23.051775,2025-06-13T13:38:23.051775,2025-05-19T13:38:23.051775,https://example.com/item/mock_9355_45_1747633103_3159
mock_9355_46_1747633103_4948,Asus ZenBook Mini 12 GB,For parts or not working,640.5,USD,9355,2025-05-05T13:38:23.051775,2025-06-02T13:38:23.051775,2025-05-19T13:38:23.051775,https://example.com/item/mock_9355_46_1747633103_4948
mock_9355_47_1747633103_4052,Dell XPS Standard 5 ,Acceptable,1695.45,USD,9355,2025-04-22T13:38:23.051775,2025-06-16T13:38:23.051775,2025-05-19T13:38:23.051775,https://example.com/item/mock_9355_47_1747633103_4052
mock_9355_48_1747633103_1367,MacBook Air 15 TB,Acceptable,1334.99,USD,9355,2025-04-29T13:38:23.051775,2025-06-17T13:38:23.051775,2025-05-19T13:38:23.051775,https://example.com/item/mock_9355_48_1747633103_1367
mock_9355_49_1747633103_9242,HP Spectre Mini 7 TB,New,1450.59,USD,9355,2025-05-02T13:38:23.051775,2025-05-22T13:38:23.051775,2025-05-19T13:38:23.051775,https://example.com/item/mock_9355_49_1747633103_9242
